timestamp,x_normalized,y_normalized
1746689346002,0.1703,0.0073
1746689346018,0.1703,0.0073
1746689346034,0.1703,0.0073
1746689346049,0.1703,0.0073
1746689346065,0.1703,0.0073
1746689346082,0.1703,0.0073
1746689346098,0.1703,0.0073
1746689346114,0.1703,0.0073
1746689346130,0.1703,0.0073
1746689346145,0.1703,0.0073
1746689346162,0.1703,0.0073
1746689346178,0.1703,0.0073
1746689346194,0.1703,0.0073
1746689346210,0.1703,0.0073
1746689346226,0.1703,0.0073
1746689346242,0.1703,0.0073
1746689346258,0.1703,0.0073
1746689346274,0.1703,0.0073
1746689346289,0.1703,0.0073
1746689346306,0.1703,0.0073
1746689346321,0.1703,0.0073
1746689346338,0.1703,0.0073
1746689346353,0.1703,0.0073
1746689346369,0.1703,0.0073
1746689346386,0.1703,0.0073
1746689346402,0.1703,0.0073
1746689346418,0.1703,0.0073
1746689346434,0.1703,0.0073
1746689346450,0.1703,0.0073
1746689346466,0.1703,0.0073
1746689346482,0.1703,0.0073
1746689346498,0.1703,0.0073
1746689346513,0.1703,0.0073
1746689346529,0.1703,0.0073
1746689346545,0.1703,0.0073
1746689346561,0.1703,0.0073
1746689346578,0.1703,0.0073
1746689346593,0.1703,0.0073
1746689346609,0.1703,0.0073
1746689346625,0.1703,0.0073
1746689346641,0.1703,0.0073
1746689346658,0.1703,0.0073
1746689346673,0.1703,0.0073
1746689346690,0.1703,0.0073
1746689346706,0.1703,0.0073
1746689346722,0.1703,0.0073
1746689346738,0.1703,0.0073
1746689346754,0.1703,0.0073
1746689346770,0.1703,0.0073
1746689346786,0.1703,0.0073
1746689346802,0.1703,0.0073
1746689346818,0.1703,0.0073
1746689346834,0.1703,0.0073
1746689346850,0.1703,0.0073
1746689346866,0.1703,0.0073
1746689346882,0.1703,0.0073
1746689346898,0.1703,0.0073
1746689346914,0.1703,0.0073
1746689346930,0.1703,0.0073
1746689346945,0.1703,0.0073
1746689346962,0.1703,0.0073
1746689346978,0.1703,0.0073
1746689346994,0.1703,0.0073
1746689347010,0.1703,0.0073
1746689347026,0.1703,0.0073
1746689347042,0.1703,0.0073
1746689347058,0.1703,0.0073
1746689347074,0.1703,0.0073
1746689347090,0.1703,0.0073
1746689347106,0.1703,0.0073
1746689347122,0.1703,0.0073
1746689347138,0.1703,0.0073
1746689347154,0.1703,0.0073
1746689347170,0.1703,0.0073
1746689347186,0.1703,0.0073
1746689347202,0.1703,0.0073
1746689347217,0.1703,0.0073
1746689347233,0.1703,0.0073
1746689347250,0.1703,0.0073
1746689347266,0.1703,0.0073
1746689347282,0.1703,0.0073
1746689347298,0.1885,0.0000
1746689347313,0.2000,0.0303
1746689347330,0.2286,0.1044
1746689347345,0.2917,0.2505
1746689347361,0.3370,0.3518
